ARRIVALS,,,,
#sitename,,,,
#onset,,,,
#first motion,,,,
#phase,,,,
#year month day,,,,
#hour minute,,,,
#second,,,,
#uncertainty in seconds,,,,
#peak amplitude,,,,
#frequency at P phase,,,,
,,,,
TIME SERIES,,,,
LLPS,LLPS,LLPS,#sitename,
EHE _,EHN _,EHZ _,#component,
unnamed,unnamed,unnamed,#authority,
20180828,20180828,20180828,#year month day,
438,438,438,#hour minute,
7.112,7.112,7.112,#second,
100,100,100,#samples per second,
27126,27126,27126,#number of samples,
0,0,0,#sync,
,,,#sync source,
--------,--------,--------,,
893,-2181,633,2430,
906,-2164,623,2431,
955,-2165,569,2432,
951,-2231,494,2433,
983,-2237,432,2434,
998,-2173,442,2435,
1025,-2198,469,2436,
1064,-2280,373,2437,
1075,-2320,303,2438,
1072,-2307,371,2439,
1008,-2302,393,2440,
958,-2322,386,2441,
1038,-2306,326,2442,
1111,-2257,220,2443,
1116,-2203,227,2444,
1119,-2173,135,2445,
1190,-2163,32,2446,
1241,-2113,72,2447,
1184,-2073,116,2448,
1170,-2003,175,2449,
1122,-2008,193,2450,
1073,-2083,201,2451,
1069,-2116,156,2452,
1082,-2182,78,2453,
1108,-2218,73,2454,
1139,-2307,55,2455,
1231,-2345,65,2456,
1278,-2388,141,2457,
1248,-2450,208,2458,
1170,-2502,245,2459,
1049,-2578,277,2460,
935,-2590,217,2461,
864,-2555,139,2462,
856,-2515,166,2463,
881,-2516,202,2464,
851,-2433,163,2465,
791,-2442,101,2466,
703,-2380,106,2467,
622,-2339,116,2468,
589,-2387,153,2469,
541,-2334,154,2470,
572,-2318,154,2471,
599,-2206,248,2472,
623,-2175,323,2473,
650,-2161,401,2474,
624,-2147,396,2475,
669,-2137,349,2476,
597,-2152,366,2477,
594,-2272,387,2478,
672,-2317,479,2479,
681,-2377,588,2480,
704,-2330,638,2481,
595,-2320,657,2482,
594,-2378,662,2483,
597,-2381,673,2484,
564,-2425,633,2485,
598,-2369,572,2486,
585,-2301,591,2487,
644,-2213,660,2488,
634,-2167,695,2489,
604,-2147,640,2490,
595,-2125,563,2491,
577,-2144,463,2492,
631,-2127,392,2493,
661,-2105,471,2494,
638,-1991,552,2495,
630,-1950,586,2496,
652,-1938,582,2497,
682,-1899,496,2498,
772,-1862,421,2499,
838,-1847,414,2500,
902,-1941,457,2501,
1001,-2036,405,2502,
1061,-2084,303,2503,
1111,-2086,264,2504,
1114,-2128,193,2505,
1138,-2112,167,2506,
1179,-2136,231,2507,
1215,-2226,270,2508,
1195,-2214,287,2509,
1212,-2250,284,2510,
1269,-2308,253,2511,
1289,-2330,221,2512,
1342,-2406,178,2513,
1245,-2419,195,2514,
1245,-2411,222,2515,
1296,-2448,220,2516,
1251,-2450,276,2517,
1348,-2489,321,2518,
1305,-2513,396,2519,
1220,-2538,467,2520,
1148,-2518,460,2521,
962,-2481,463,2522,
930,-2516,421,2523,
856,-2505,412,2524,
813,-2446,486,2525,
864,-2356,516,2526,
733,-2304,541,2527,
633,-2189,535,2528,
583,-2177,462,2529,
583,-2247,367,2530,
659,-2153,326,2531,
672,-2124,391,2532,
717,-2016,407,2533,
766,-2004,359,2534,
764,-2071,302,2535,
802,-2025,259,2536,
804,-2102,271,2537,
833,-2074,275,2538,
853,-2066,279,2539,
747,-2111,273,2540,
720,-2102,276,2541,
650,-2136,321,2542,
565,-2115,335,2543,
555,-2100,349,2544,
480,-2065,389,2545,
427,-1976,397,2546,
360,-1985,432,2547,
370,-2025,447,2548,
422,-1983,413,2549,
418,-1983,380,2550,
484,-1959,343,2551,
469,-1915,322,2552,
531,-1995,231,2553,
634,-2043,239,2554,
624,-2076,339,2555,
722,-2106,377,2556,
748,-2055,491,2557,
784,-2089,487,2558,
861,-2134,465,2559,
828,-2245,512,2560,
832,-2339,445,2561,
822,-2342,457,2562,
859,-2378,510,2563,
911,-2367,506,2564,
948,-2420,476,2565,
971,-2400,430,2566,
896,-2387,437,2567,
900,-2474,463,2568,
911,-2508,424,2569,
906,-2531,389,2570,
945,-2506,433,2571,
866,-2469,431,2572,
809,-2489,329,2573,
858,-2542,262,2574,
876,-2582,244,2575,
978,-2650,170,2576,
1112,-2657,183,2577,
1120,-2650,247,2578,
1160,-2608,215,2579,
1181,-2485,216,2580,
1197,-2437,247,2581,
1183,-2375,269,2582,
1180,-2398,243,2583,
1251,-2472,170,2584,
1245,-2554,108,2585,
1302,-2587,61,2586,
1298,-2469,52,2587,
1276,-2430,34,2588,
1368,-2311,43,2589,
1369,-2256,78,2590,
1366,-2282,200,2591,
1311,-2226,374,2592,
1187,-2296,466,2593,
1088,-2313,562,2594,
971,-2256,542,2595,
986,-2179,439,2596,
935,-2127,402,2597,
875,-2118,340,2598,
950,-2156,283,2599,
844,-2190,300,2600,
681,-2182,364,2601,
583,-2232,372,2602,
508,-2184,305,2603,
509,-2140,242,2604,
505,-2068,226,2605,
443,-2006,245,2606,
488,-2060,315,2607,
516,-2062,382,2608,
514,-2062,398,2609,
459,-1952,427,2610,
409,-1882,424,2611,
413,-1843,377,2612,
338,-1754,342,2613,
436,-1784,242,2614,
408,-1814,169,2615,
464,-1864,170,2616,
609,-1865,168,2617,
583,-1886,260,2618,
666,-1939,247,2619,
737,-1874,192,2620,
879,-1860,219,2621,
924,-1884,210,2622,
947,-1904,242,2623,
941,-1928,265,2624,
770,-1954,361,2625,
730,-2115,403,2626,
672,-2239,351,2627,
688,-2282,376,2628,
827,-2348,418,2629,
824,-2387,488,2630,
887,-2470,495,2631,
915,-2454,485,2632,
821,-2504,473,2633,
841,-2667,390,2634,
797,-2642,359,2635,
865,-2660,333,2636,
902,-2687,284,2637,
791,-2650,322,2638,
901,-2623,417,2639,
889,-2520,517,2640,
864,-2542,594,2641,
871,-2531,609,2642,
818,-2487,526,2643,
873,-2469,450,2644,
777,-2435,443,2645,
807,-2522,385,2646,
869,-2484,270,2647,
855,-2471,160,2648,
940,-2478,66,2649,
947,-2441,58,2650,
967,-2415,157,2651,
928,-2356,229,2652,
934,-2344,269,2653,
945,-2305,311,2654,
944,-2281,295,2655,
941,-2228,275,2656,
838,-2223,351,2657,
802,-2263,392,2658,
724,-2217,369,2659,
761,-2131,358,2660,
735,-2128,271,2661,
704,-2038,243,2662,
828,-2057,180,2663,
870,-2147,118,2664,
942,-2055,186,2665,
962,-2115,131,2666,
1014,-2117,123,2667,
1077,-2157,260,2668,
1140,-2163,368,2669,
1125,-2102,379,2670,
1065,-2154,346,2671,
1047,-2099,379,2672,
948,-2121,377,2673,
926,-2172,282,2674,
945,-2208,230,2675,
1071,-2211,242,2676,
1111,-2138,308,2677,
1095,-2115,391,2678,
1068,-2078,376,2679,
971,-2009,362,2680,
1025,-2000,322,2681,
1005,-2036,297,2682,
988,-2021,341,2683,
978,-2045,334,2684,
954,-2039,425,2685,
934,-2051,478,2686,
864,-2097,484,2687,
860,-2049,505,2688,
803,-2125,428,2689,
735,-2139,372,2690,
729,-2106,308,2691,
761,-2068,270,2692,
748,-2034,285,2693,
763,-2124,315,2694,
806,-2137,298,2695,
817,-2264,250,2696,
850,-2323,291,2697,
780,-2313,366,2698,
793,-2434,407,2699,
820,-2479,413,2700,
842,-2517,433,2701,
887,-2490,462,2702,
803,-2453,525,2703,
800,-2509,592,2704,
746,-2526,621,2705,
668,-2550,612,2706,
669,-2486,558,2707,
632,-2375,558,2708,
628,-2370,540,2709,
652,-2337,516,2710,
617,-2325,548,2711,
577,-2305,627,2712,
546,-2261,690,2713,
533,-2276,667,2714,
568,-2228,602,2715,
567,-2174,481,2716,
614,-2140,460,2717,
655,-2117,481,2718,
732,-2134,464,2719,
811,-2114,500,2720,
818,-2113,516,2721,
904,-2128,577,2722,
949,-2175,580,2723,
999,-2202,546,2724,
1037,-2194,596,2725,
994,-2211,573,2726,
1023,-2247,477,2727,
1071,-2283,347,2728,
1144,-2269,249,2729,
1227,-2269,259,2730,
1212,-2274,300,2731,
1227,-2311,368,2732,
1209,-2334,397,2733,
1129,-2393,340,2734,
1155,-2417,328,2735,
1075,-2425,328,2736,
1040,-2461,347,2737,
1047,-2349,373,2738,
903,-2331,351,2739,
874,-2293,340,2740,
773,-2270,258,2741,
715,-2309,164,2742,
670,-2216,160,2743,
551,-2178,177,2744,
586,-2144,164,2745,
565,-2139,96,2746,
619,-2135,87,2747,
641,-2084,126,2748,
629,-2058,101,2749,
728,-2064,115,2750,
728,-2119,167,2751,
742,-2135,219,2752,
754,-2167,296,2753,
690,-2143,334,2754,
699,-2071,387,2755,
709,-2054,421,2756,
667,-2064,425,2757,
648,-2088,410,2758,
611,-2154,323,2759,
619,-2195,251,2760,
565,-2149,207,2761,
519,-2166,199,2762,
583,-2161,137,2763,
629,-2248,62,2764,
713,-2292,76,2765,
671,-2245,88,2766,
609,-2280,126,2767,
608,-2279,136,2768,
609,-2368,107,2769,
726,-2363,99,2770,
769,-2296,96,2771,
752,-2337,92,2772,
768,-2285,138,2773,
760,-2256,183,2774,
779,-2272,178,2775,
865,-2208,150,2776,
910,-2264,112,2777,
970,-2271,152,2778,
1030,-2267,124,2779,
1116,-2279,101,2780,
1235,-2221,73,2781,
1300,-2229,6,2782,
1461,-2198,23,2783,
1510,-2239,53,2784,
1499,-2217,183,2785,
1477,-2198,220,2786,
1418,-2158,245,2787,
1386,-2102,319,2788,
1359,-2134,284,2789,
1353,-2124,319,2790,
1246,-2230,329,2791,
1229,-2290,324,2792,
1174,-2327,349,2793,
1118,-2373,315,2794,
1093,-2384,346,2795,
1034,-2410,387,2796,
1064,-2465,337,2797,
1013,-2543,380,2798,
1025,-2506,422,2799,
970,-2496,426,2800,
888,-2461,520,2801,
878,-2399,592,2802,
792,-2377,680,2803,
739,-2291,726,2804,
653,-2286,740,2805,
608,-2308,706,2806,
588,-2325,582,2807,
604,-2341,569,2808,
604,-2381,570,2809,
576,-2404,584,2810,
571,-2343,653,2811,
478,-2351,678,2812,
459,-2384,724,2813,
381,-2468,766,2814,
321,-2537,772,2815,
375,-2543,779,2816,
385,-2519,803,2817,
410,-2430,803,2818,
318,-2381,789,2819,
250,-2397,723,2820,
289,-2383,595,2821,
295,-2340,515,2822,
344,-2253,493,2823,
350,-2136,487,2824,
344,-2042,431,2825,
388,-1881,418,2826,
362,-1828,383,2827,
360,-1798,284,2828,
408,-1770,260,2829,
480,-1805,250,2830,
544,-1733,272,2831,
625,-1802,250,2832,
692,-1846,252,2833,
716,-1844,282,2834,
854,-1851,252,2835,
932,-1805,326,2836,
1008,-1899,315,2837,
1120,-1894,346,2838,
1112,-1932,422,2839,
1219,-1963,375,2840,
1323,-1920,463,2841,
1296,-1981,451,2842,
1323,-1973,373,2843,
1341,-2004,295,2844,
1324,-2061,179,2845,
1274,-2148,218,2846,
1236,-2258,161,2847,
1308,-2280,95,2848,
1373,-2298,130,2849,
1409,-2305,120,2850,
1450,-2323,124,2851,
1467,-2406,108,2852,
1459,-2408,111,2853,
1414,-2395,188,2854,
1356,-2429,249,2855,
1307,-2400,286,2856,
1263,-2473,281,2857,
1199,-2495,213,2858,
1154,-2426,190,2859,
1164,-2451,171,2860,
1125,-2381,152,2861,
1150,-2375,168,2862,
1173,-2402,167,2863,
1103,-2356,187,2864,
1072,-2416,209,2865,
931,-2387,229,2866,
857,-2397,199,2867,
853,-2436,193,2868,
760,-2415,267,2869,
783,-2413,252,2870,
726,-2391,222,2871,
713,-2452,165,2872,
755,-2479,132,2873,
645,-2486,107,2874,
627,-2501,-20,2875,
572,-2516,18,2876,
490,-2543,53,2877,
420,-2508,48,2878,
368,-2449,133,2879,
393,-2452,126,2880,
393,-2492,200,2881,
428,-2494,293,2882,
411,-2460,277,2883,
370,-2416,320,2884,
393,-2367,346,2885,
439,-2256,398,2886,
464,-2175,509,2887,
518,-2089,520,2888,
596,-2073,528,2889,
608,-2164,505,2890,
610,-2097,543,2891,
655,-2067,693,2892,
684,-2068,742,2893,
719,-2044,782,2894,
801,-2133,718,2895,
783,-2119,653,2896,
808,-2211,607,2897,
888,-2282,519,2898,
895,-2177,618,2899,
910,-2169,627,2900,
875,-2044,683,2901,
840,-1996,768,2902,
874,-2018,629,2903,
932,-1968,533,2904,
950,-2016,426,2905,
950,-1978,352,2906,
975,-1970,330,2907,
972,-1986,293,2908,
996,-1953,290,2909,
1038,-2019,258,2910,
1059,-2058,272,2911,
1074,-2080,331,2912,
1075,-2150,382,2913,
1019,-2182,432,2914,
933,-2222,452,2915,
936,-2256,501,2916,
857,-2261,583,2917,
829,-2304,620,2918,
844,-2264,686,2919,
789,-2254,712,2920,
824,-2280,634,2921,
789,-2269,556,2922,
808,-2283,464,2923,
874,-2208,409,2924,
877,-2150,441,2925,
893,-2128,450,2926,
865,-2057,416,2927,
816,-1986,372,2928,
803,-1968,322,2929,
853,-2013,213,2930,
985,-2078,111,2931,
1020,-2046,97,2932,
1045,-2029,39,2933,
1083,-1992,24,2934,
1005,-2002,17,2935,
1115,-2118,-33,2936,
1079,-2152,63,2937,
1018,-2179,176,2938,
1022,-2172,164,2939,
863,-2294,93,2940,
944,-2392,11,2941,
891,-2462,-40,2942,
832,-2525,-33,2943,
819,-2542,31,2944,
670,-2632,125,2945,
628,-2613,152,2946,
494,-2594,157,2947,
444,-2618,160,2948,
467,-2648,137,2949,
526,-2591,160,2950,
604,-2527,213,2951,
560,-2480,233,2952,
573,-2501,156,2953,
643,-2515,127,2954,
654,-2444,95,2955,
708,-2429,83,2956,
785,-2348,173,2957,
780,-2381,131,2958,
865,-2381,119,2959,
842,-2361,162,2960,
791,-2336,150,2961,
776,-2298,129,2962,
768,-2400,72,2963,
872,-2317,120,2964,
875,-2328,255,2965,
889,-2252,386,2966,
852,-2072,532,2967,
861,-2056,629,2968,
834,-1925,665,2969,
825,-1950,660,2970,
941,-2033,583,2971,
930,-2073,529,2972,
1007,-2122,523,2973,
1019,-2075,540,2974,
1025,-2045,534,2975,
1106,-2105,542,2976,
1099,-2119,596,2977,
1034,-2154,570,2978,
952,-2239,563,2979,
930,-2319,488,2980,
941,-2444,419,2981,
987,-2421,470,2982,
1021,-2453,497,2983,
1014,-2430,509,2984,
980,-2356,484,2985,
1008,-2356,472,2986,
965,-2315,397,2987,
958,-2303,372,2988,
1007,-2259,479,2989,
992,-2208,461,2990,
1066,-2167,381,2991,
1027,-2208,358,2992,
1099,-2167,320,2993,
1218,-2163,373,2994,
1260,-2169,437,2995,
1307,-2152,458,2996,
1255,-2228,602,2997,
1251,-2239,629,2998,
1151,-2250,573,2999,
1099,-2174,514,3000,
1103,-2174,467,3001,
1060,-2213,548,3002,
1022,-2182,535,3003,
957,-2183,560,3004,
897,-2168,523,3005,
815,-2119,306,3006,
787,-2013,223,3007,
717,-2008,213,3008,
678,-1991,128,3009,
661,-1987,53,3010,
631,-2020,69,3011,
643,-1947,132,3012,
632,-1961,253,3013,
699,-2013,353,3014,
688,-2051,366,3015,
649,-2108,369,3016,
574,-2134,380,3017,
471,-2152,377,3018,
530,-2210,351,3019,
529,-2162,368,3020,
549,-2132,408,3021,
579,-2167,397,3022,
563,-2135,339,3023,
591,-2228,314,3024,
562,-2268,328,3025,
576,-2306,387,3026,
629,-2374,465,3027,
620,-2345,455,3028,
680,-2311,485,3029,
700,-2275,523,3030,
633,-2231,516,3031,
658,-2204,574,3032,
577,-2235,565,3033,
535,-2231,577,3034,
565,-2254,651,3035,
537,-2319,583,3036,
653,-2351,506,3037,
686,-2336,498,3038,
699,-2354,479,3039,
777,-2417,478,3040,
778,-2468,433,3041,
835,-2520,316,3042,
806,-2460,261,3043,
745,-2366,327,3044,
727,-2319,410,3045,
662,-2315,404,3046,
681,-2324,367,3047,
668,-2297,372,3048,
654,-2284,379,3049,
648,-2277,345,3050,
563,-2278,305,3051,
575,-2212,331,3052,
584,-2137,336,3053,
542,-2099,229,3054,
605,-2081,100,3055,
686,-2131,-7,3056,
737,-2119,-46,3057,
773,-2111,-40,3058,
799,-2146,-62,3059,
837,-2156,-37,3060,
826,-2197,28,3061,
833,-2210,95,3062,
861,-2207,120,3063,
921,-2317,154,3064,
987,-2375,186,3065,
991,-2390,181,3066,
991,-2447,242,3067,
1005,-2478,234,3068,
1098,-2543,178,3069,
1146,-2519,154,3070,
1155,-2516,126,3071,
1213,-2530,116,3072,
1185,-2524,70,3073,
1209,-2582,20,3074,
1213,-2550,-60,3075,
1245,-2495,-147,3076,
1367,-2437,-96,3077,
1334,-2410,1,3078,
1377,-2362,87,3079,
1385,-2301,199,3080,
1330,-2337,218,3081,
1370,-2327,233,3082,
1413,-2267,324,3083,
1415,-2242,303,3084,
1354,-2203,247,3085,
1314,-2160,213,3086,
1252,-2189,188,3087,
1206,-2155,226,3088,
1162,-2165,266,3089,
1122,-2163,313,3090,
1078,-2068,339,3091,
1046,-2077,333,3092,
977,-2048,338,3093,
947,-2033,348,3094,
938,-1991,409,3095,
893,-1951,463,3096,
903,-1940,493,3097,
791,-1937,573,3098,
812,-2050,586,3099,
788,-2107,580,3100,
718,-2146,589,3101,
737,-2151,526,3102,
654,-2114,532,3103,
683,-2083,545,3104,
634,-2056,595,3105,
605,-2061,632,3106,
667,-2070,581,3107,
681,-2097,559,3108,
676,-2084,568,3109,
711,-2117,649,3110,
735,-2241,625,3111,
690,-2279,522,3112,
703,-2249,485,3113,
679,-2275,484,3114,
744,-2234,517,3115,
736,-2154,505,3116,
711,-2113,485,3117,
692,-2009,480,3118,
537,-1998,497,3119,
499,-2070,505,3120,
452,-2095,433,3121,
491,-2162,332,3122,
517,-2180,263,3123,
543,-2232,244,3124,
659,-2269,216,3125,
681,-2264,223,3126,
725,-2335,306,3127,
732,-2406,381,3128,
658,-2564,403,3129,
629,-2600,374,3130,
671,-2572,400,3131,
656,-2573,466,3132,
653,-2501,524,3133,
703,-2527,555,3134,
739,-2498,525,3135,
714,-2444,515,3136,
715,-2401,503,3137,
770,-2364,454,3138,
763,-2390,428,3139,
765,-2368,459,3140,
718,-2378,520,3141,
718,-2386,539,3142,
775,-2348,531,3143,
773,-2324,543,3144,
774,-2331,576,3145,
754,-2356,595,3146,
756,-2327,584,3147,
749,-2296,573,3148,
778,-2234,522,3149,
808,-2166,497,3150,
787,-2093,539,3151,
846,-2043,509,3152,
873,-2021,412,3153,
936,-2000,336,3154,
1018,-2028,276,3155,
1004,-2004,157,3156,
1084,-1995,33,3157,
1102,-1973,30,3158,
1061,-1974,67,3159,
1104,-2019,66,3160,
1054,-2082,131,3161,
1047,-2246,179,3162,
1028,-2306,201,3163,
926,-2321,293,3164,
886,-2380,320,3165,
842,-2420,284,3166,
887,-2444,268,3167,
890,-2412,267,3168,
843,-2370,237,3169,
853,-2310,220,3170,
820,-2355,225,3171,
817,-2420,168,3172,
851,-2419,110,3173,
834,-2412,70,3174,
773,-2318,144,3175,
750,-2354,240,3176,
780,-2412,240,3177,
778,-2462,274,3178,
753,-2501,255,3179,
787,-2471,232,3180,
835,-2497,196,3181,
905,-2400,151,3182,
896,-2312,214,3183,
884,-2203,250,3184,
964,-2096,283,3185,
973,-2087,240,3186,
1044,-2024,130,3187,
1108,-1979,121,3188,
1136,-1941,132,3189,
1251,-1967,121,3190,
1246,-1954,134,3191,
1219,-1909,159,3192,
1248,-1923,153,3193,
1206,-1935,167,3194,
1203,-2022,198,3195,
1129,-2036,198,3196,
1016,-2107,208,3197,
983,-2214,248,3198,
969,-2245,326,3199,
940,-2254,373,3200,
877,-2175,348,3201,
870,-2208,317,3202,
893,-2206,323,3203,
890,-2213,322,3204,
845,-2243,355,3205,
808,-2170,417,3206,
803,-2221,434,3207,
788,-2279,411,3208,
818,-2295,345,3209,
781,-2271,357,3210,
676,-2185,409,3211,
669,-2214,465,3212,
675,-2243,560,3213,
696,-2209,518,3214,
712,-2198,448,3215,
708,-2164,470,3216,
712,-2161,525,3217,
651,-2111,623,3218,
600,-2024,651,3219,
555,-2018,596,3220,
542,-2038,552,3221,
594,-2066,512,3222,
617,-2087,457,3223,
651,-2028,391,3224,
731,-1994,383,3225,
740,-2035,428,3226,
761,-2081,432,3227,
746,-2148,461,3228,
678,-2206,504,3229,
727,-2293,540,3230,
709,-2335,629,3231,
691,-2354,600,3232,
732,-2361,522,3233,
717,-2361,521,3234,
714,-2420,499,3235,
687,-2415,510,3236,
699,-2437,454,3237,
691,-2447,370,3238,
650,-2441,308,3239,
723,-2457,229,3240,
713,-2418,284,3241,
752,-2422,292,3242,
805,-2380,286,3243,
743,-2418,304,3244,
751,-2424,259,3245,
691,-2374,317,3246,
685,-2383,366,3247,
703,-2337,425,3248,
712,-2393,473,3249,
747,-2395,428,3250,
740,-2386,393,3251,
754,-2378,317,3252,
729,-2397,193,3253,
749,-2403,111,3254,
820,-2384,121,3255,
881,-2387,137,3256,
906,-2351,138,3257,
1019,-2419,237,3258,
1017,-2391,297,3259,
989,-2378,274,3260,
1110,-2341,294,3261,
1048,-2297,371,3262,
1075,-2252,449,3263,
973,-2176,441,3264,
829,-2159,425,3265,
872,-2130,414,3266,
886,-2178,401,3267,
976,-2117,396,3268,
981,-2106,323,3269,
1032,-2133,256,3270,
1053,-2099,281,3271,
1048,-2162,282,3272,
1039,-2163,246,3273,
1001,-2127,263,3274,
977,-2159,258,3275,
961,-2190,324,3276,
1044,-2247,342,3277,
989,-2266,301,3278,
984,-2239,384,3279,
968,-2215,432,3280,
904,-2168,461,3281,
948,-2184,480,3282,
942,-2255,468,3283,
885,-2317,458,3284,
804,-2227,511,3285,
784,-2108,504,3286,
787,-2070,393,3287,
881,-2093,352,3288,
955,-2158,355,3289,
974,-2158,355,3290,
1002,-2204,289,3291,
916,-2224,259,3292,
1011,-2263,239,3293,
1085,-2259,248,3294,
1098,-2283,330,3295,
1177,-2398,357,3296,
1133,-2453,333,3297,
1208,-2498,266,3298,
1187,-2367,227,3299,
1256,-2325,236,3300,
1328,-2285,280,3301,
1248,-2173,286,3302,
1267,-2099,273,3303,
1074,-2033,236,3304,
1076,-2085,157,3305,
1062,-2105,170,3306,
921,-2131,161,3307,
930,-2067,138,3308,
797,-2050,142,3309,
811,-2015,76,3310,
809,-1974,62,3311,
788,-1991,100,3312,
893,-1969,163,3313,
845,-2028,269,3314,
848,-2003,304,3315,
865,-1981,350,3316,
775,-1958,420,3317,
782,-1994,464,3318,
745,-2038,497,3319,
620,-2050,491,3320,
638,-2072,475,3321,
564,-2059,455,3322,
556,-2160,447,3323,
591,-2210,418,3324,
523,-2248,479,3325,
558,-2334,506,3326,
426,-2399,431,3327,
445,-2466,437,3328,
421,-2492,408,3329,
299,-2506,372,3330,
390,-2538,326,3331,
352,-2628,297,3332,
425,-2670,311,3333,
492,-2645,303,3334,
469,-2648,288,3335,
454,-2623,240,3336,
477,-2572,194,3337,
597,-2518,151,3338,
684,-2531,139,3339,
784,-2531,127,3340,
789,-2443,181,3341,
816,-2461,205,3342,
850,-2488,188,3343,
820,-2463,306,3344,
809,-2443,435,3345,
742,-2356,489,3346,
680,-2336,405,3347,
674,-2297,349,3348,
673,-2228,418,3349,
589,-2219,467,3350,
517,-2174,484,3351,
464,-2148,484,3352,
482,-2088,471,3353,
493,-2054,401,3354,
469,-2062,392,3355,
574,-2089,455,3356,
661,-2119,462,3357,
715,-2100,451,3358,
751,-2069,460,3359,
821,-2061,539,3360,
909,-2133,598,3361,
956,-2153,583,3362,
1015,-2105,587,3363,
1056,-2034,570,3364,
1065,-2092,565,3365,
1115,-2176,526,3366,
1111,-2131,455,3367,
1049,-2115,440,3368,
1084,-2096,360,3369,
1106,-2124,286,3370,
1188,-2148,249,3371,
1183,-2166,224,3372,
1204,-2246,267,3373,
1326,-2286,245,3374,
1293,-2303,184,3375,
1398,-2329,185,3376,
1418,-2351,221,3377,
1339,-2393,265,3378,
1402,-2404,357,3379,
1373,-2351,451,3380,
1373,-2329,509,3381,
1365,-2331,550,3382,
1337,-2348,531,3383,
1343,-2316,517,3384,
1256,-2216,469,3385,
1144,-2163,443,3386,
1064,-2145,413,3387,
1079,-2169,282,3388,
1070,-2113,203,3389,
1015,-2074,163,3390,
957,-2114,191,3391,
922,-2094,218,3392,
937,-2170,195,3393,
939,-2259,208,3394,
896,-2304,179,3395,
799,-2317,179,3396,
788,-2327,236,3397,
734,-2342,286,3398,
672,-2327,293,3399,
674,-2320,269,3400,
665,-2327,247,3401,
726,-2332,213,3402,
714,-2300,220,3403,
714,-2249,229,3404,
689,-2189,197,3405,
661,-2225,158,3406,
734,-2177,152,3407,
722,-2115,161,3408,
704,-2026,176,3409,
674,-1953,181,3410,
672,-2028,137,3411,
643,-1996,75,3412,
629,-2036,55,3413,
647,-1962,127,3414,
627,-1935,187,3415,
722,-1999,229,3416,
715,-1965,258,3417,
718,-2051,224,3418,
683,-2056,224,3419,
628,-2101,237,3420,
702,-2193,215,3421,
693,-2267,277,3422,
698,-2330,347,3423,
686,-2403,382,3424,
714,-2461,415,3425,
759,-2480,421,3426,
716,-2506,498,3427,
697,-2396,540,3428,
670,-2383,576,3429,
578,-2407,605,3430,
546,-2378,554,3431,
551,-2351,550,3432,
491,-2318,525,3433,
528,-2301,502,3434,
579,-2244,524,3435,
562,-2211,568,3436,
506,-2166,551,3437,
411,-2186,480,3438,
419,-2246,465,3439,
436,-2320,410,3440,
448,-2366,363,3441,
467,-2378,388,3442,
499,-2372,336,3443,
581,-2314,322,3444,
603,-2302,402,3445,
709,-2292,392,3446,
778,-2303,425,3447,
872,-2277,441,3448,
993,-2203,399,3449,
980,-2164,460,3450,
1066,-2157,470,3451,
1137,-2206,441,3452,
1205,-2282,377,3453,
1314,-2324,308,3454,
1356,-2328,294,3455,
1378,-2406,265,3456,
1365,-2492,271,3457,
1311,-2539,275,3458,
1311,-2554,290,3459,
1292,-2514,342,3460,
1226,-2544,373,3461,
1270,-2543,358,3462,
1226,-2508,344,3463,
1151,-2476,338,3464,
1074,-2396,320,3465,
977,-2360,339,3466,
1028,-2307,379,3467,
989,-2245,368,3468,
954,-2123,317,3469,
970,-2003,287,3470,
956,-1990,232,3471,
991,-1876,238,3472,
982,-1860,276,3473,
987,-1919,235,3474,
1038,-1885,197,3475,
1073,-1993,183,3476,
1093,-1988,224,3477,
1161,-1991,270,3478,
1143,-2073,295,3479,
1106,-2001,358,3480,
1126,-2041,420,3481,
1061,-2046,451,3482,
1025,-2061,474,3483,
1033,-2139,488,3484,
949,-2145,506,3485,
833,-2178,510,3486,
778,-2154,471,3487,
681,-2158,399,3488,
684,-2176,305,3489,
691,-2174,282,3490,
642,-2257,296,3491,
651,-2280,305,3492,
637,-2289,304,3493,
682,-2338,328,3494,
626,-2406,380,3495,
598,-2471,360,3496,
590,-2427,435,3497,
545,-2401,495,3498,
652,-2341,491,3499,
648,-2286,591,3500,
682,-2321,578,3501,
707,-2276,523,3502,
645,-2216,513,3503,
651,-2195,389,3504,
616,-2172,282,3505,
674,-2173,260,3506,
644,-2136,331,3507,
668,-2146,440,3508,
800,-2279,414,3509,
768,-2301,389,3510,
745,-2319,406,3511,
737,-2420,433,3512,
832,-2494,416,3513,
920,-2510,357,3514,
877,-2453,432,3515,
869,-2475,468,3516,
865,-2521,459,3517,
802,-2534,469,3518,
726,-2550,440,3519,
760,-2540,414,3520,
805,-2512,391,3521,
788,-2493,355,3522,
844,-2494,298,3523,
898,-2432,305,3524,
873,-2354,305,3525,
845,-2282,348,3526,
796,-2192,476,3527,
722,-2165,497,3528,
699,-2141,437,3529,
659,-2054,394,3530,
680,-2002,332,3531,
710,-1972,230,3532,
651,-1900,158,3533,
728,-1919,154,3534,
774,-1919,141,3535,
821,-1908,102,3536,
894,-1869,163,3537,
853,-1782,205,3538,
916,-1854,121,3539,
971,-1899,99,3540,
1030,-2005,117,3541,
1108,-2068,134,3542,
1047,-2071,161,3543,
1016,-2096,215,3544,
