ARRIVALS,,,,
#sitename,,,,
#onset,,,,
#first motion,,,,
#phase,,,,
#year month day,,,,
#hour minute,,,,
#second,,,,
#uncertainty in seconds,,,,
#peak amplitude,,,,
#frequency at P phase,,,,
,,,,
TIME SERIES,,,,
LLPS,LLPS,LLPS,#sitename,
EHE _,EHN _,EHZ _,#component,
unnamed,unnamed,unnamed,#authority,
20180828,20180828,20180828,#year month day,
438,438,438,#hour minute,
7.112,7.112,7.112,#second,
100,100,100,#samples per second,
27126,27126,27126,#number of samples,
0,0,0,#sync,
,,,#sync source,
--------,--------,--------,,
983,-2258,301,266,
994,-2173,342,267,
1008,-2165,402,268,
983,-2168,428,269,
1002,-2148,497,270,
938,-2178,479,271,
887,-2188,507,272,
848,-2236,523,273,
796,-2255,429,274,
785,-2274,355,275,
842,-2309,248,276,
861,-2281,259,277,
846,-2262,340,278,
849,-2288,331,279,
819,-2400,316,280,
773,-2432,277,281,
739,-2424,342,282,
740,-2434,397,283,
764,-2360,388,284,
824,-2342,443,285,
846,-2289,436,286,
882,-2249,435,287,
841,-2276,451,288,
721,-2283,438,289,
724,-2364,394,290,
678,-2398,256,291,
740,-2350,144,292,
823,-2263,175,293,
806,-2150,212,294,
837,-2153,220,295,
802,-2146,240,296,
861,-2084,265,297,
812,-2098,361,298,
793,-2138,389,299,
914,-2153,344,300,
900,-2108,311,301,
922,-2056,358,302,
882,-2083,454,303,
922,-2161,416,304,
985,-2218,314,305,
903,-2229,243,306,
915,-2212,285,307,
929,-2308,258,308,
999,-2373,175,309,
1013,-2294,280,310,
914,-2312,325,311,
916,-2361,302,312,
887,-2392,326,313,
790,-2338,403,314,
650,-2283,480,315,
641,-2350,401,316,
754,-2304,314,317,
744,-2178,360,318,
723,-2059,491,319,
755,-2096,555,320,
817,-2274,442,321,
907,-2346,358,322,
887,-2308,424,323,
935,-2257,435,324,
1007,-2309,377,325,
927,-2301,381,326,
995,-2227,432,327,
1005,-2272,390,328,
993,-2374,234,329,
954,-2330,266,330,
800,-2166,386,331,
863,-2120,383,332,
